"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
108,1749,"2-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21232,"LC/MS Neg",100000943,6300,281.24858,"3443-84-3","5319879","","","MG 0:0/18:1(9Z)/0:0"
109,1744,"2-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",33419,"LC/MS Neg",100001048,6300,255.23293,"23470-00-0","123409","","HMDB11533","MG 0:0/16:0/0:0"
110,1607,"2-palmitoyl-GPC (16:0)*","Lipid","Lysolipid",35253,"LC/MS Neg",100001562,6215,570.34125,"","15061532","","HMDB61702","LPC 0:0/16:0"
111,1646,"2-stearoyl-GPE (18:0)*","Lipid","Lysolipid",41220,"LC/MS Neg",100003901,6350,480.30956,"","","","","LPE 0:0/18:0"
112,130,"3-(4-hydroxyphenyl)lactate","Amino Acid","Phenylalanine and Tyrosine Metabolism",32197,"LC/MS Neg",240,1379,181.05063,"6482-98-0","9378","C03672","HMDB00755","Hydroxyphenyllactic acid"
113,187,"3,5,3'-triiodothyronine (T3)","Amino Acid","Phenylalanine and Tyrosine Metabolism",32196,"LC/MS Neg",100000465,4844.5,649.78276,"6893-02-3;6893-02-3","5920","C02465","HMDB00265","Liothyronine"
114,2739,"3-aminoisobutyrate","Nucleotide","Pyrimidine Metabolism, Thymine containing",1566,"LC/MS Pos Early",1114,2215,104.07061,"10569-72-9;214139-20-5","64956","C05145","HMDB03911","3-Aminoisobutanoic acid"
115,1821,"3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism",531,"LC/MS Polar",112,2700,161.04555,"503-49-1","1662","C03761","HMDB00355","3-Hydroxymethylglutaric acid"
116,1291,"3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies",542,"LC/MS Polar",254,1443.3,103.04007,"625-72-9","441","C01089","HMDB00357","3-Hydroxybutyric acid"
117,1260,"3-hydroxybutyrylcarnitine (1)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",43264,"LC/MS Pos Early",100003926,2400,248.14925,"","53481617","","HMDB13127","CAR 4:0;3OH"
118,1261,"3-hydroxybutyrylcarnitine (2)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",52984,"LC/MS Pos Early",100009271,2340,248.14925,"","","","","CAR 4:0;3OH"
119,1303,"3-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",22053,"LC/MS Neg",100000997,4634.7,187.13396,"5561-87-5","26612","","HMDB02203","3-Hydroxydecanoic acid"
120,302,"3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1549,"LC/MS Polar",111,1619.1,103.04007,"2068-83-9","87","C06001","HMDB00336","3R-Hydroxyisobutyric acid"
121,1305,"3-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy",32457,"LC/MS Neg",100001112,5175,215.16526,"53941-38-1","94216","","HMDB00387","3-Hydroxydodecanoic acid"
122,1302,"3-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22001,"LC/MS Neg",100000773,3446,159.10266,"88930-08-9","26613","","HMDB01954","3-Hydroxyoctanoic acid"
123,1778,"3-ketosphinganine","Lipid","Sphingolipid Metabolism",34381,"LC/MS Pos Late",100001436,1400,300.28971,"18944-28-0","631","C02934","HMDB01480","3-Ketosphinganine"
124,299,"3-methyl-2-oxobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",44526,"LC/MS Polar",100000936,911,115.04006,"3715-29-5","49","C00141","HMDB00019","Ketoisovaleric acid"
